HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
St Etienne,Paris SG,2,2,D,1,2,A,15,7,4,2,12,13,9,3,4,2,0,0
Toulouse,Bordeaux,0,0,D,0,0,D,10,7,3,2,19,14,6,3,0,1,0,0
Paris SG,Montpellier,1,0,H,0,0,D,20,12,5,3,13,22,2,4,1,1,0,0
Ajaccio,Toulouse,2,3,A,2,2,D,14,15,4,7,19,17,6,5,1,2,0,0
Bordeaux,Lorient,1,1,D,0,1,A,19,10,7,3,10,11,8,1,3,2,0,0
Evian Thonon Gaillard,Reims,2,2,D,0,1,A,29,6,9,3,12,11,14,4,1,3,0,1
Rennes,Nancy,0,2,A,0,0,D,23,9,5,5,13,19,8,4,2,2,0,0
Troyes,St Etienne,2,2,D,2,2,D,9,20,5,4,15,15,4,6,4,1,0,0
Valenciennes,Bastia,3,4,A,2,1,H,16,16,10,8,20,15,5,5,3,1,0,0
Brest,Lille,1,2,A,1,1,D,8,14,2,5,18,12,2,8,2,1,0,0
Lyon,Sochaux,1,2,A,0,0,D,20,8,4,6,15,21,8,1,3,3,0,0
Nice,Marseille,0,1,A,0,1,A,15,11,5,4,17,16,7,1,1,1,0,0
Marseille,Bordeaux,1,0,H,1,0,H,12,10,3,1,15,14,5,5,1,1,0,0
Bastia,Brest,4,0,H,1,0,H,15,13,8,3,8,18,6,2,0,2,0,1
Montpellier,Valenciennes,3,1,H,1,1,D,18,12,8,4,13,18,10,3,2,3,0,0
Nancy,Troyes,1,0,H,0,0,D,17,9,8,3,15,22,5,2,3,3,0,0
Rennes,Paris SG,0,2,A,0,0,D,17,10,2,5,12,16,4,6,1,3,0,0
Sochaux,Ajaccio,0,0,D,0,0,D,12,12,6,2,17,15,4,2,1,2,0,0
Toulouse,Nice,3,4,A,2,2,D,13,9,5,7,16,18,8,4,5,2,1,1
Lille,Lorient,5,0,H,4,0,H,16,5,8,3,9,7,2,0,0,3,0,0
Reims,Lyon,1,0,H,0,0,D,13,6,7,3,13,16,9,2,1,2,0,1
St Etienne,Evian Thonon Gaillard,1,0,H,0,0,D,13,8,6,2,12,12,9,0,0,3,0,0
Valenciennes,St Etienne,0,0,D,0,0,D,11,10,1,1,16,13,4,5,0,3,0,0
Ajaccio,Nancy,1,1,D,1,1,D,16,10,5,4,22,10,7,3,2,0,0,0
Bordeaux,Montpellier,4,2,H,3,1,H,15,10,6,4,14,17,3,3,2,4,0,0
Brest,Reims,0,2,A,0,1,A,14,8,3,4,20,11,6,3,3,2,0,0
Evian Thonon Gaillard,Rennes,4,2,H,2,1,H,16,10,7,4,14,15,4,3,1,2,0,0
Lorient,Bastia,4,1,H,1,0,H,20,10,10,2,7,11,6,4,1,2,0,0
Troyes,Paris SG,0,1,A,0,0,D,11,12,6,5,10,9,3,2,1,1,0,0
Lille,Marseille,0,0,D,0,0,D,16,6,7,3,14,15,7,2,1,1,0,0
Lyon,Toulouse,3,1,H,1,1,D,10,9,3,1,16,15,8,2,1,1,0,0
Nice,Sochaux,3,0,H,0,0,D,18,5,6,0,11,10,7,1,1,2,0,0
Montpellier,Lyon,1,2,A,1,1,D,13,13,4,4,16,20,4,5,0,3,0,0
Marseille,Brest,1,0,H,1,0,H,9,10,2,2,7,11,6,4,1,2,0,0
Bastia,Lille,1,2,A,0,0,D,6,19,2,6,14,16,1,10,3,2,0,0
Nancy,Evian Thonon Gaillard,3,1,H,1,1,D,11,10,7,4,9,7,5,2,2,1,0,0
Paris SG,Nice,3,0,H,1,0,H,16,6,8,1,17,15,6,3,2,2,0,1
Reims,Valenciennes,0,1,A,0,0,D,10,15,1,5,12,12,7,6,2,2,0,0
Sochaux,Bordeaux,2,2,D,1,0,H,18,23,6,5,11,13,6,11,3,2,0,0
Toulouse,Lorient,0,1,A,0,0,D,14,9,4,2,13,12,8,4,1,0,0,0
Rennes,Troyes,1,2,A,1,2,A,10,10,2,6,14,10,4,4,1,0,0,0
St Etienne,Ajaccio,4,2,H,1,1,D,19,11,9,5,12,12,10,6,2,2,0,0
Lille,Sochaux,3,3,D,2,0,H,23,6,9,4,9,26,7,0,0,2,0,0
Ajaccio,Montpellier,2,1,H,0,0,D,14,7,4,2,15,19,5,4,2,1,1,1
Bastia,Toulouse,0,0,D,0,0,D,15,11,2,2,12,14,5,4,0,2,0,0
Bordeaux,Reims,0,0,D,0,0,D,11,6,3,0,11,13,10,4,2,2,0,0
Brest,Rennes,0,2,A,0,2,A,17,7,5,4,20,13,10,3,0,1,0,0
Lorient,Marseille,0,1,A,0,1,A,12,6,3,4,10,13,4,7,3,4,1,1
Valenciennes,Nancy,0,0,D,0,0,D,18,9,4,4,11,12,4,2,1,2,0,0
Evian Thonon Gaillard,Paris SG,0,1,A,0,0,D,14,10,3,5,19,20,6,4,2,1,0,2
Lyon,St Etienne,1,1,D,0,1,A,13,13,3,4,10,10,4,6,2,2,0,0
Nice,Troyes,3,1,H,2,1,H,17,11,4,3,12,12,7,4,1,2,0,0
St Etienne,Bordeaux,0,0,D,0,0,D,15,4,5,0,10,10,10,0,1,2,0,0
Marseille,Bastia,2,1,H,1,0,H,16,6,8,3,11,12,13,4,0,1,0,0
Montpellier,Brest,2,1,H,1,1,D,8,11,4,2,12,18,8,4,1,3,0,0
Reims,Ajaccio,1,1,D,1,1,D,15,9,8,4,11,17,8,8,2,3,0,0
Sochaux,Lorient,1,0,H,1,0,H,8,13,3,7,15,10,5,5,1,1,0,0
Toulouse,Lille,4,2,H,2,1,H,14,11,9,8,24,16,3,6,2,0,0,0
Troyes,Evian Thonon Gaillard,1,0,H,0,0,D,9,10,3,3,13,12,3,3,2,3,0,0
Nancy,Lyon,0,3,A,0,0,D,15,17,3,5,11,15,8,6,0,2,0,0
Paris SG,Valenciennes,1,1,D,0,1,A,19,17,4,6,8,15,14,5,5,2,1,0
Rennes,Nice,0,3,A,0,0,D,12,9,2,5,9,18,1,4,2,1,1,1
Lille,Reims,3,0,H,1,0,H,19,14,4,1,15,15,5,7,2,3,0,0
Ajaccio,Troyes,0,1,A,0,1,A,16,9,3,2,13,12,4,5,0,0,0,0
Bastia,Montpellier,3,1,H,2,1,H,12,11,4,5,19,10,7,5,2,1,0,0
Bordeaux,Nancy,3,2,H,2,0,H,24,9,12,3,16,11,7,4,3,2,0,0
Brest,Sochaux,0,2,A,0,0,D,12,13,4,7,18,12,6,10,3,3,1,0
Marseille,Toulouse,2,1,H,1,0,H,14,7,4,4,10,19,4,2,2,2,0,0
Valenciennes,Rennes,4,1,H,1,1,D,13,10,6,4,8,16,3,3,0,2,0,2
Evian Thonon Gaillard,Nice,4,0,H,1,0,H,16,9,8,3,17,15,2,11,3,2,0,0
Lorient,St Etienne,3,1,H,0,0,D,11,11,6,4,11,11,7,8,1,3,0,0
Lyon,Paris SG,0,1,A,0,0,D,14,11,2,6,18,10,3,4,2,2,0,0
Evian Thonon Gaillard,Valenciennes,2,0,H,2,0,H,12,10,5,2,11,15,6,7,2,1,0,0
Montpellier,Lille,0,0,D,0,0,D,14,12,1,3,14,18,5,5,1,3,0,1
Nancy,Bastia,1,2,A,0,0,D,16,12,6,6,18,21,9,0,3,1,0,0
Paris SG,Brest,3,1,H,3,0,H,11,22,5,8,7,10,3,4,0,0,0,0
Reims,Lorient,1,0,H,1,0,H,14,9,6,1,15,11,8,3,0,3,0,0
Rennes,Ajaccio,1,1,D,1,1,D,7,8,1,4,12,22,3,1,1,4,0,0
Sochaux,Toulouse,1,2,A,1,2,A,13,11,4,5,13,20,9,3,2,2,0,1
St Etienne,Marseille,2,0,H,2,0,H,12,10,6,3,14,9,3,7,0,1,0,0
Troyes,Bordeaux,1,0,H,0,0,D,13,10,4,1,17,8,3,5,2,3,0,1
Nice,Lyon,1,1,D,0,0,D,12,14,1,6,18,21,2,2,3,3,0,1
Ajaccio,Nice,0,2,A,0,0,D,5,5,3,3,14,19,4,0,1,1,0,0
Bastia,Sochaux,0,0,D,0,0,D,10,6,2,1,17,13,5,2,2,2,0,0
Bordeaux,Evian Thonon Gaillard,2,1,H,2,1,H,16,9,3,3,13,11,3,2,2,2,0,0
Brest,Nancy,1,2,A,0,2,A,14,10,3,4,6,17,7,5,1,1,0,0
Lille,St Etienne,1,1,D,1,0,H,19,6,4,2,10,17,5,3,2,2,0,1
Lorient,Paris SG,1,3,A,0,0,D,14,10,5,4,5,8,12,1,0,0,0,1
Lyon,Rennes,2,0,H,1,0,H,9,14,5,8,12,13,1,3,0,0,0,0
Marseille,Reims,0,0,D,0,0,D,21,4,7,0,7,14,10,5,0,0,0,0
Toulouse,Montpellier,2,0,H,2,0,H,16,19,9,4,21,16,3,9,1,2,0,0
Valenciennes,Troyes,2,1,H,0,1,A,14,7,4,5,20,13,6,3,2,3,0,0
Montpellier,Paris SG,1,1,D,1,0,H,6,12,1,4,22,18,1,8,2,2,1,0
Bordeaux,Monaco,0,2,A,0,0,D,11,13,2,6,16,11,3,7,1,0,0,0
Evian Thonon Gaillard,Sochaux,1,1,D,1,0,H,15,9,8,6,13,18,5,5,1,2,0,0
Lille,Lorient,1,0,H,1,0,H,6,6,3,3,18,18,4,3,1,1,0,1
Lyon,Nice,4,0,H,1,0,H,12,11,6,5,20,9,2,5,1,0,0,0
Nantes,Bastia,2,0,H,1,0,H,7,9,3,0,14,14,2,2,1,3,1,1
Rennes,Reims,2,1,H,1,1,D,13,15,6,5,7,15,4,8,1,2,0,0
Valenciennes,Toulouse,3,0,H,1,0,H,19,2,7,1,22,12,6,0,2,0,0,1
Ajaccio,St Etienne,0,1,A,0,1,A,7,8,1,2,16,20,1,3,0,1,1,0
Guingamp,Marseille,1,3,A,0,3,A,13,16,5,7,16,19,9,3,2,4,0,0
Sochaux,Lyon,1,3,A,1,2,A,11,15,8,8,14,19,8,5,3,0,0,0
Bastia,Valenciennes,2,0,H,0,0,D,9,7,2,3,13,15,6,4,2,2,0,0
Marseille,Evian Thonon Gaillard,2,0,H,1,0,H,8,16,3,4,11,12,3,8,3,1,0,0
Nice,Rennes,2,1,H,1,1,D,15,4,5,3,12,19,5,0,0,1,0,1
Reims,Lille,2,1,H,1,0,H,10,15,3,3,12,14,3,7,1,0,0,0
St Etienne,Guingamp,1,0,H,0,0,D,9,5,1,2,13,11,6,4,4,3,0,0
Toulouse,Bordeaux,1,1,D,1,1,D,12,8,6,4,16,17,6,2,3,1,0,1
Lorient,Nantes,2,1,H,1,1,D,14,8,8,3,8,19,10,3,1,1,0,0
Monaco,Montpellier,4,1,H,2,1,H,13,5,7,3,21,15,9,1,2,3,0,1
Paris SG,Ajaccio,1,1,D,0,1,A,37,1,15,1,17,11,12,1,2,3,0,0
Monaco,Toulouse,0,0,D,0,0,D,21,3,5,0,17,24,4,1,1,3,0,0
Bordeaux,Bastia,1,0,H,1,0,H,12,4,5,2,13,17,2,4,2,2,0,0
Evian Thonon Gaillard,Rennes,1,2,A,0,2,A,17,11,5,4,10,14,3,5,2,3,0,0
Guingamp,Lorient,2,0,H,1,0,H,10,11,3,5,17,17,6,5,2,2,0,0
Lyon,Reims,0,1,A,0,0,D,19,6,5,2,17,13,7,1,1,2,0,0
Montpellier,Sochaux,2,1,H,1,1,D,12,9,4,1,24,17,1,3,2,3,0,1
Valenciennes,Marseille,0,1,A,0,0,D,7,18,2,6,22,15,6,11,1,3,0,0
Ajaccio,Nice,0,0,D,0,0,D,5,10,2,2,20,13,5,3,0,0,0,0
Lille,St Etienne,1,0,H,1,0,H,12,6,5,2,11,20,4,2,2,1,0,0
Nantes,Paris SG,1,2,A,0,1,A,13,13,3,6,10,14,8,6,1,1,0,0
Bastia,Toulouse,2,1,H,1,0,H,7,9,4,3,15,18,4,3,2,4,1,0
Evian Thonon Gaillard,Lyon,2,1,H,2,0,H,15,6,5,2,10,13,3,10,1,1,0,0
Lorient,Valenciennes,1,0,H,1,0,H,15,8,3,1,9,19,6,5,1,1,0,1
Paris SG,Guingamp,2,0,H,0,0,D,25,7,7,1,13,15,13,1,1,2,0,0
Reims,Nantes,0,0,D,0,0,D,7,9,2,2,11,3,4,0,1,0,0,0
Rennes,Lille,0,0,D,0,0,D,11,10,2,1,10,15,2,2,1,2,0,0
Sochaux,Ajaccio,0,0,D,0,0,D,17,9,5,2,8,11,5,2,1,1,0,0
Marseille,Monaco,1,2,A,1,0,H,10,12,2,4,16,13,6,10,2,3,0,0
Nice,Montpellier,2,2,D,2,1,H,12,5,4,3,18,19,4,2,3,4,0,1
St Etienne,Bordeaux,2,1,H,1,0,H,12,13,5,5,17,10,4,4,2,1,0,0
Bordeaux,Paris SG,0,2,A,0,1,A,6,14,1,7,14,13,1,5,2,2,0,0
Ajaccio,Evian Thonon Gaillard,2,3,A,0,2,A,18,12,8,5,10,20,7,5,2,3,0,0
Guingamp,Bastia,1,1,D,0,0,D,7,11,5,1,19,18,1,1,2,3,0,0
Montpellier,Reims,0,0,D,0,0,D,16,9,3,3,8,8,4,3,2,2,0,0
Nantes,Sochaux,1,0,H,0,0,D,11,1,5,0,12,8,3,2,0,1,0,0
Toulouse,Marseille,1,1,D,0,0,D,20,15,4,8,17,13,6,5,2,2,0,0
Valenciennes,St Etienne,1,3,A,0,1,A,10,10,3,4,11,9,5,0,2,1,0,0
Lille,Nice,0,2,A,0,2,A,22,5,9,4,16,16,10,2,3,3,0,0
Lyon,Rennes,0,0,D,0,0,D,18,5,6,3,16,14,8,2,0,1,0,0
Monaco,Lorient,1,0,H,1,0,H,11,6,3,0,13,16,2,1,3,3,0,0
St Etienne,Toulouse,1,2,A,1,0,H,18,11,3,6,19,17,4,5,2,2,0,0
Bastia,Marseille,0,0,D,0,0,D,12,11,5,1,19,10,4,4,2,0,0,0
Evian Thonon Gaillard,Montpellier,2,2,D,0,1,A,12,8,5,3,12,11,3,1,2,3,0,1
Reims,Guingamp,1,1,D,0,1,A,15,15,3,4,15,12,7,6,3,1,0,0
Rennes,Ajaccio,2,0,H,2,0,H,14,17,7,2,20,13,6,6,2,2,0,0
Sochaux,Lille,0,2,A,0,2,A,14,15,6,8,18,14,4,4,2,1,0,0
Lorient,Bordeaux,3,3,D,2,3,A,16,11,10,3,13,14,3,4,1,2,0,0
Lyon,Nantes,3,1,H,1,1,D,11,9,5,2,18,12,6,4,0,0,0,0
Nice,Valenciennes,4,0,H,2,0,H,10,8,5,1,13,14,4,3,1,2,0,0
Paris SG,Monaco,1,1,D,1,1,D,18,15,2,4,5,18,6,2,1,3,0,0
Lille,Evian Thonon Gaillard,3,0,H,2,0,H,12,6,5,1,16,12,4,2,1,2,0,0
Marseille,St Etienne,2,1,H,2,1,H,12,11,5,2,10,17,8,11,1,1,0,0
Ajaccio,Lyon,2,1,H,1,0,H,7,15,3,8,18,18,1,6,5,2,0,1
Bordeaux,Reims,0,0,D,0,0,D,20,9,7,3,15,23,15,4,1,2,0,0
Guingamp,Sochaux,5,1,H,3,0,H,14,15,7,6,14,18,3,2,2,4,0,0
Monaco,Bastia,3,0,H,2,0,H,19,12,9,5,9,14,10,5,1,1,0,0
Nantes,Nice,2,0,H,1,0,H,16,4,6,0,10,12,8,0,1,1,0,0
Toulouse,Lorient,1,0,H,0,0,D,14,11,4,4,13,17,6,3,1,2,0,0
Valenciennes,Paris SG,0,1,A,0,1,A,14,6,3,2,13,10,8,4,1,4,0,0
Montpellier,Rennes,0,0,D,0,0,D,20,8,4,3,18,14,7,2,3,1,0,0
Evian Thonon Gaillard,Bordeaux,1,1,D,1,0,H,11,17,2,7,23,17,6,8,3,3,0,1
Lorient,Marseille,0,2,A,0,0,D,15,12,6,4,6,11,6,2,1,1,0,0
Lyon,Lille,0,0,D,0,0,D,6,14,1,5,15,12,1,7,3,2,0,0
Nice,Guingamp,1,0,H,0,0,D,16,10,7,4,17,16,10,3,1,2,0,0
Paris SG,Toulouse,2,0,H,1,0,H,14,7,4,3,12,15,6,2,0,3,0,0
Sochaux,Valenciennes,2,0,H,2,0,H,8,15,5,2,14,16,4,12,4,3,0,0
St Etienne,Bastia,2,2,D,1,0,H,20,4,7,2,5,15,5,1,2,4,0,0
Ajaccio,Montpellier,1,1,D,1,1,D,10,12,2,7,16,15,6,6,3,1,1,1
Reims,Monaco,1,1,D,1,1,D,13,16,3,7,15,12,6,7,1,1,1,0
Rennes,Nantes,1,3,A,0,2,A,6,14,4,5,9,16,2,4,1,2,0,0
Bastia,Lorient,4,1,H,2,1,H,15,9,10,2,15,20,4,6,2,4,0,1
Guingamp,Rennes,2,0,H,0,0,D,22,6,8,2,17,15,9,3,0,1,0,1
Lille,Ajaccio,3,0,H,1,0,H,18,6,6,1,14,11,8,4,1,1,0,0
Monaco,St Etienne,2,1,H,1,0,H,11,8,6,5,14,17,7,0,1,6,0,0
Nantes,Evian Thonon Gaillard,3,0,H,2,0,H,7,11,4,2,11,13,6,4,1,2,0,0
Toulouse,Nice,1,0,H,1,0,H,8,10,2,3,18,13,1,4,1,1,0,0
Valenciennes,Reims,1,1,D,0,1,A,18,9,11,4,15,16,22,4,0,2,0,0
Bordeaux,Sochaux,4,1,H,2,1,H,18,10,7,1,11,17,4,4,3,2,0,0
Marseille,Paris SG,1,2,A,1,1,D,11,4,6,4,23,12,6,1,3,4,0,1
Montpellier,Lyon,5,1,H,2,0,H,15,18,10,4,16,19,3,5,2,2,0,1
Nice,Marseille,1,0,H,1,0,H,7,19,3,6,16,14,2,14,2,2,0,0
Reims,Toulouse,1,2,A,0,1,A,11,13,5,7,18,12,4,4,2,2,1,0
Ajaccio,Nantes,0,1,A,0,0,D,7,16,3,5,18,16,7,6,2,3,0,0
Evian Thonon Gaillard,Guingamp,1,2,A,1,0,H,10,9,2,5,17,12,4,6,2,0,0,0
Montpellier,Lille,0,1,A,0,1,A,11,9,4,2,7,17,5,4,0,3,0,0
Paris SG,Bastia,4,0,H,2,0,H,20,11,8,2,9,15,6,3,0,2,0,0
Rennes,Valenciennes,2,2,D,1,0,H,13,13,5,6,7,12,1,8,1,0,0,0
Lyon,Bordeaux,1,1,D,0,0,D,18,9,6,1,16,15,5,5,1,2,1,0
Sochaux,Monaco,2,2,D,0,2,A,16,12,7,5,16,18,9,3,2,2,0,0
St Etienne,Lorient,3,2,H,2,1,H,19,11,7,5,19,11,4,4,3,2,0,0
Nantes,Lille,0,1,A,0,1,A,7,12,2,4,11,19,5,1,0,4,1,0
Bastia,Nice,1,0,H,1,0,H,9,13,3,4,13,17,4,3,2,3,1,1
Guingamp,Ajaccio,2,1,H,0,1,A,17,13,6,4,19,19,8,2,2,4,0,0
Lorient,Sochaux,2,1,H,1,0,H,10,7,6,2,18,9,4,3,1,1,0,0
Marseille,Reims,2,3,A,0,2,A,16,8,5,4,13,16,8,5,2,0,0,0
Toulouse,Rennes,0,5,A,0,3,A,16,14,2,10,11,15,4,2,1,1,0,0
Valenciennes,Evian Thonon Gaillard,0,1,A,0,0,D,10,5,2,3,10,11,7,4,1,3,0,0
Bordeaux,Montpellier,2,0,H,0,0,D,16,5,7,1,21,9,6,3,3,0,0,1
Monaco,Lyon,2,1,H,2,0,H,10,7,4,2,12,17,2,6,1,3,0,0
St Etienne,Paris SG,2,2,D,1,0,H,9,21,3,4,11,12,5,7,2,3,1,0
Paris SG,Lorient,4,0,H,3,0,H,17,9,10,2,8,11,6,6,0,0,0,0
Ajaccio,Valenciennes,1,3,A,1,1,D,13,14,5,5,26,20,2,6,2,2,0,0
Evian Thonon Gaillard,Toulouse,2,1,H,0,0,D,14,9,3,4,18,12,4,4,2,3,0,0
Lyon,Guingamp,2,0,H,2,0,H,14,8,7,1,13,9,13,5,1,2,0,1
Reims,Bastia,4,2,H,2,0,H,15,12,9,8,14,11,5,4,1,1,0,0
Rennes,Marseille,1,1,D,1,1,D,11,11,4,3,8,17,6,5,2,1,0,0
Sochaux,St Etienne,0,0,D,0,0,D,19,7,5,2,17,10,9,2,2,1,1,1
Lille,Monaco,2,0,H,1,0,H,7,15,3,7,19,20,5,8,2,2,0,0
Montpellier,Nantes,1,1,D,0,1,A,18,5,5,2,4,20,6,4,0,1,0,0
Nice,Bordeaux,1,2,A,0,1,A,8,11,1,4,15,14,7,2,3,2,0,0
Monaco,Evian Thonon Gaillard,1,1,D,1,1,D,15,9,2,5,8,21,12,2,1,2,0,0
Bastia,Rennes,1,0,H,1,0,H,15,10,5,3,16,10,9,4,1,2,0,0
Guingamp,Lille,0,0,D,0,0,D,9,13,1,3,20,18,4,5,1,3,1,0
Lorient,Reims,0,0,D,0,0,D,18,9,3,1,12,9,10,4,0,1,1,0
Paris SG,Nice,3,1,H,1,0,H,16,14,6,2,11,14,6,10,0,1,0,0
Toulouse,Ajaccio,1,1,D,1,1,D,25,4,7,2,11,19,11,0,2,2,0,0
Valenciennes,Montpellier,1,1,D,1,0,H,11,11,3,2,20,17,8,7,3,4,0,1
Bordeaux,Nantes,0,3,A,0,1,A,16,11,7,4,7,13,8,4,1,2,0,0
Marseille,Sochaux,2,1,H,1,0,H,13,8,4,2,12,15,5,4,0,1,0,0
St Etienne,Lyon,1,2,A,0,0,D,13,9,3,5,10,18,6,3,2,3,0,0
Ajaccio,Marseille,1,3,A,1,2,A,9,18,3,7,17,19,5,2,4,1,0,0
Evian Thonon Gaillard,Lorient,0,4,A,0,2,A,6,11,1,5,12,10,5,2,3,2,1,0
Lyon,Valenciennes,1,1,D,1,0,H,17,13,5,5,6,12,4,2,1,2,0,0
Montpellier,Guingamp,1,1,D,0,0,D,11,8,3,2,15,22,10,4,2,2,0,0
Reims,Paris SG,0,3,A,0,1,A,15,15,5,9,12,15,7,1,3,2,0,0
Rennes,Bordeaux,1,1,D,0,0,D,16,11,5,6,8,12,7,3,0,1,0,0
Sochaux,Bastia,1,1,D,0,1,A,16,10,4,3,11,7,5,5,0,2,0,0
Lille,Toulouse,1,0,H,0,0,D,16,5,1,3,14,17,9,5,1,3,0,1
Nantes,Monaco,0,1,A,0,0,D,10,12,3,5,16,9,4,5,3,1,0,0
Nice,St Etienne,0,1,A,0,1,A,11,9,2,4,6,17,5,3,1,1,0,0
Marseille,Montpellier,2,0,H,1,0,H,14,7,7,2,18,11,9,3,2,0,0,0
Guingamp,Nantes,1,0,H,0,0,D,11,12,3,3,9,24,8,7,1,4,0,0
Lorient,Nice,3,0,H,1,0,H,9,16,5,3,12,13,2,6,0,0,0,0
Monaco,Rennes,2,0,H,2,0,H,21,9,7,0,15,11,8,4,1,0,0,0
St Etienne,Reims,4,0,H,0,0,D,19,9,7,2,8,17,8,4,1,2,0,0
Toulouse,Sochaux,5,1,H,2,1,H,11,12,6,3,15,19,6,4,2,2,0,0
Valenciennes,Lille,0,1,A,0,0,D,9,9,2,1,13,10,10,1,2,0,0,1
Bastia,Evian Thonon Gaillard,2,0,H,0,0,D,14,6,6,3,10,12,4,5,1,2,0,0
Bordeaux,Ajaccio,4,0,H,1,0,H,10,6,5,1,16,17,3,5,2,4,0,0
Paris SG,Lyon,4,0,H,2,0,H,13,6,6,1,10,18,5,3,2,4,0,0
Lille,Marseille,1,0,H,0,0,D,12,11,4,4,18,16,9,4,0,0,0,0
Nantes,Valenciennes,2,1,H,0,0,D,12,11,6,3,9,11,6,4,1,0,0,0
Nice,Monaco,0,3,A,0,2,A,6,13,4,5,19,15,5,3,1,0,0,0
Ajaccio,Bastia,1,1,D,0,1,A,4,15,2,5,16,16,1,2,2,1,1,0
Evian Thonon Gaillard,Paris SG,2,0,H,0,0,D,13,17,3,3,13,8,6,10,1,0,0,0
Guingamp,Bordeaux,0,1,A,0,1,A,7,9,2,6,13,13,7,0,1,1,1,1
Montpellier,Lorient,0,2,A,0,0,D,13,13,3,4,13,11,9,6,2,1,2,0
Rennes,St Etienne,3,1,H,1,0,H,11,27,5,11,8,12,4,10,1,2,0,0
Sochaux,Reims,0,2,A,0,1,A,9,11,2,5,9,14,9,3,0,1,0,0
Lyon,Toulouse,1,1,D,1,0,H,15,7,5,3,15,14,7,2,2,2,0,0
Marseille,Nantes,0,1,A,0,1,A,19,10,6,3,6,14,10,5,2,1,0,0
Lorient,Rennes,2,0,H,1,0,H,17,5,7,2,15,11,6,4,2,0,0,1
Paris SG,Sochaux,5,0,H,1,0,H,18,5,8,2,17,13,5,5,3,3,0,0
Reims,Nice,1,0,H,0,0,D,15,13,3,2,12,15,4,4,1,2,0,0
Valenciennes,Guingamp,1,1,D,1,0,H,11,12,3,2,22,16,8,1,1,2,0,0
Bastia,Lyon,1,3,A,1,0,H,5,8,2,3,13,13,0,1,3,1,1,0
Bordeaux,Lille,1,0,H,1,0,H,10,5,4,1,14,14,3,2,0,1,1,0
Monaco,Ajaccio,1,0,H,0,0,D,22,5,5,3,11,15,10,2,1,0,0,1
Toulouse,Montpellier,1,1,D,0,1,A,15,12,4,3,14,20,10,3,3,1,1,1
Montpellier,St Etienne,0,1,A,0,0,D,5,14,0,3,11,15,7,1,2,3,0,0
Ajaccio,Lorient,1,2,A,1,1,D,12,10,6,2,13,10,5,6,1,2,0,0
Evian Thonon Gaillard,Reims,1,1,D,0,0,D,16,11,5,5,12,18,2,3,0,1,0,0
Guingamp,Monaco,0,2,A,0,2,A,10,17,3,3,11,13,4,7,1,2,1,0
Nantes,Toulouse,1,2,A,0,0,D,13,11,2,4,18,5,8,5,2,2,0,0
Nice,Sochaux,1,0,H,1,0,H,11,8,6,0,13,22,8,5,1,3,0,0
Rennes,Paris SG,1,3,A,0,1,A,6,7,2,5,11,19,9,4,1,1,0,0
Bordeaux,Valenciennes,2,1,H,0,0,D,11,5,4,3,12,12,5,2,1,2,0,0
Lille,Bastia,2,1,H,2,1,H,17,9,7,4,12,11,10,5,3,1,0,0
Lyon,Marseille,2,2,D,2,1,H,15,11,8,5,10,16,5,1,2,3,0,0
Monaco,Valenciennes,1,2,A,0,1,A,20,5,10,4,10,23,13,2,1,5,0,0
Bastia,Montpellier,0,0,D,0,0,D,13,7,5,2,13,14,3,2,2,1,0,0
Nice,Evian Thonon Gaillard,3,1,H,0,1,A,20,10,7,5,11,15,9,3,3,2,0,0
Reims,Ajaccio,4,1,H,0,0,D,18,15,8,4,16,14,7,7,1,2,0,0
Sochaux,Rennes,2,1,H,1,1,D,7,14,4,5,17,11,1,3,1,2,0,0
St Etienne,Nantes,2,0,H,1,0,H,16,12,6,2,15,11,5,7,1,2,0,0
Toulouse,Guingamp,0,0,D,0,0,D,13,6,3,1,11,15,3,6,1,2,0,0
Lorient,Lyon,2,2,D,0,1,A,7,7,4,3,11,10,5,5,0,0,0,0
Marseille,Bordeaux,2,2,D,0,1,A,17,10,12,2,14,7,5,6,2,1,0,0
Paris SG,Lille,2,2,D,1,1,D,17,6,6,5,17,11,11,3,4,4,0,0
St Etienne,Evian Thonon Gaillard,1,0,H,1,0,H,16,11,7,1,5,15,5,6,0,3,0,0
Montpellier,Monaco,1,1,D,0,0,D,8,9,5,4,14,18,4,3,1,4,0,0
Ajaccio,Paris SG,1,2,A,1,1,D,6,19,2,8,17,12,1,6,2,2,0,0
Bordeaux,Toulouse,0,1,A,0,0,D,11,11,3,2,19,8,5,1,2,1,1,1
Guingamp,St Etienne,0,0,D,0,0,D,12,9,3,4,14,21,5,4,0,1,0,0
Lyon,Sochaux,2,0,H,0,0,D,18,10,5,2,19,19,1,7,1,1,0,0
Rennes,Nice,0,0,D,0,0,D,19,6,4,0,12,7,5,1,2,1,0,0
Valenciennes,Bastia,3,2,H,2,0,H,8,16,3,3,8,10,4,4,0,0,0,0
Evian Thonon Gaillard,Marseille,1,2,A,1,2,A,14,9,6,4,11,12,10,2,0,0,0,0
Lille,Reims,1,2,A,0,0,D,18,8,5,4,10,16,5,2,1,1,0,0
